episode,speaker,content,addressee
"Friendship is Magic, part 1",Narrator,"Once upon a time, in the magical land of Equestria, there were two regal sisters who ruled together and created harmony for all the land. To do this, the eldest used her unicorn powers to raise the sun at dawn; the younger brought out the moon to begin the night. Thus, the two sisters maintained balance for their kingdom and their subjects, all the different types of ponies. But as time went on, the younger sister became resentful. The ponies relished and played in the day her elder sister brought forth, but shunned and slept through her beautiful night. One fateful day, the younger unicorn refused to lower the moon to make way for the dawn. The elder sister tried to reason with her, but the bitterness in the young one's heart had transformed her into a wicked mare of darkness: Nightmare Moon.",Narrator
"Friendship is Magic, part 1",Narrator,"She vowed that she would shroud the land in eternal night. Reluctantly, the elder sister harnessed the most powerful magic known to ponydom: the Elements of Harmony. Using the magic of the Elements of Harmony, she defeated her younger sister, and banished her permanently in the moon. The elder sister took on responsibility for both...",Narrator and Twilight Sparkle
"Friendship is Magic, part 1",Narrator and Twilight Sparkle,...sun and moon...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,...and harmony has been maintained in Equestria for generations since. Hmm... Elements of Harmony. I know I've heard of those before... but where?,Twinkleshine
"Friendship is Magic, part 1",Twinkleshine,"There you are, Twilight! Moon Dancer is having a little get-together in the west castle courtyard. You wanna come?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh, sorry, girls... I've got a lot of studying to catch up on.",Twinkleshine
"Friendship is Magic, part 1",Twinkleshine,Does that pony do anything except study? I think she's more interested in books than friends.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,I know I've heard of the Elements of Harmony.,Spike
"Friendship is Magic, part 1",Spike,Ow!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Spike! Spi-ike! Spike?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"There you are. Quick, find me that old copy of Predictions and Prophecies. What's that for?",Spike
"Friendship is Magic, part 1",Spike,"Well, it was a gift for Moon Dancer, but...",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh Spike, you know we don't have time for that sort of thing.",Spike
"Friendship is Magic, part 1",Spike,But we're on a break!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"No, no, no... no, no, no! Spike!",Spike
"Friendship is Magic, part 1",Spike,It's over here!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Ah! Elements, Elements, E, E, E... Aha! Elements of Harmony, see: Mare in the Moon?",Spike
"Friendship is Magic, part 1",Spike,Mare in the Moon? But that's just an old ponies' tale.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Mare, mare... aha! The Mare in the Moon, myth from olden pony times. A powerful pony who wanted to rule Equestria, defeated by the Elements of Harmony and imprisoned in the moon. Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about nighttime eternal! Spike! Do you know what this means?",Spike
"Friendship is Magic, part 1",Spike,No<U+0097> whoa!,Spike
"Friendship is Magic, part 1",Spike,Ow!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Take a note please, to the Princess.",Spike
"Friendship is Magic, part 1",Spike,Okie dokie.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"My dearest teacher, my continuing studies of pony magic have led me to discover that we are on the precipice of disaster!",Spike
"Friendship is Magic, part 1",Spike,Hold on. Preci... preci...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Threshold.,Spike
"Friendship is Magic, part 1",Spike,Threh...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Uh, brink? Ugh, that something really bad is about to happen! For you see, the mythical Mare in the Moon is in fact Nightmare Moon, and she's about to return to Equestria, and bring with her eternal night! Something must be done to make sure this terrible prophecy does not come true. I await your quick response. Your faithful student, Twilight Sparkle.",Spike
"Friendship is Magic, part 1",Spike,Twi... light Spar... kle. Got it!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Great! Send it.,Spike
"Friendship is Magic, part 1",Spike,Now?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Of course!,Spike
"Friendship is Magic, part 1",Spike,"Uh, I dunno, Twilight, Princess Celestia's a little busy getting ready for the Summer Sun Celebration. And it's like, the day after tomorrow.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"That's just it, Spike. The day after tomorrow is the thousandth year of the Summer Sun Celebration! It's imperative that the Princess is told right away!",Spike
"Friendship is Magic, part 1",Spike,Impera... impera...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Important!,Spike
"Friendship is Magic, part 1",Spike,Whoa!,Spike
"Friendship is Magic, part 1",Spike,"Okay, okay! There, it's on its way. But I wouldn't hold your breath...",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh, I'm not worried, Spike. The Princess trusts me completely. In all the years she's been my mentor she's never once doubted me.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,See? I knew she would want to take immediate action.,Spike
"Friendship is Magic, part 1",Spike,"My dearest, most faithful student Twilight. You know that I value your diligence and that I trust you completely.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Mm-hm!,Spike
"Friendship is Magic, part 1",Spike,...but you simply must stop reading those dusty old books!,Spike
"Friendship is Magic, part 1",Spike,"My dear Twilight, there is more to a young pony's life than studying, so I'm sending you to supervise the preparations for the Summer Sun Celebration in this year's location: Ponyville. And, I have an even more essential task for you to complete: make some friends!",Spike
"Friendship is Magic, part 1",Spike,"Look on the bright side, Twilight. The Princess arranged for you to stay in a library. Doesn't that make you happy?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Yes, yes it does. You know why? Because I'm right! I'll check on the preparations as fast as I can, then get to the library to find some proof of Nightmare Moon's return.",Spike
"Friendship is Magic, part 1",Spike,"Then... when will you make friends, like the Princess said?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"She said to check on preparations. I am her student, and I'll do my royal duty, but the fate of Equestria does not rest on me making friends.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Thank you, sirs.",Spike
"Friendship is Magic, part 1",Spike,"Maybe the ponies in Ponyville have interesting things to talk about. Come on, Twilight, just try!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Um... hello?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, that was interesting all right.",Spike
"Friendship is Magic, part 1",Spike,"Summer Sun Celebration official overseer's checklist. Number one, banquet preparations: Sweet Apple Acres.",Applejack
"Friendship is Magic, part 1",Applejack,Yeehaw!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Let's get this over with... Good afternoon. My name is Twilight Sparkle<U+0097>,Applejack
"Friendship is Magic, part 1",Applejack,"Well, howdy-doo, Miss Twilight, a pleasure makin' your acquaintance. I'm Applejack. We here at Sweet Apple Acres sure do like makin' new friends!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Friends? Actually, I<U+0097>",Applejack
"Friendship is Magic, part 1",Applejack,"So, what can I do you for?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, I am in fact here to supervise preparations for the Summer Sun Celebration. And you're in charge of the food?",Applejack
"Friendship is Magic, part 1",Applejack,We sure as sugar are! Would you care to sample some?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,As long as it doesn't take too long...,Applejack
"Friendship is Magic, part 1",Applejack,"Soup's on, everypony!",Applejack
"Friendship is Magic, part 1",Applejack,"Now, why don't I introduce y'all to the Apple family?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Thanks, but I really need to hurry<U+0097>",Applejack
"Friendship is Magic, part 1",Applejack,"This here's Apple Fritter. Apple Bumpkin. Red Gala. Red Delicious, Golden Delicious, Caramel Apple, Apple Strudel, Apple Tart, Baked Apples, Apple Brioche, Apple Cinnamon Crisp... Big McIntosh, Apple Bloom and Granny Smith. Up'n'attem, Granny Smith, we got guests.",Granny Smith
"Friendship is Magic, part 1",Granny Smith,"Wha..? Soup's on? I'm up, here I come, ahm comin'...",Applejack
"Friendship is Magic, part 1",Applejack,"Why, I'd say you're already part of the family!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Okay, well, I can see the food situation is handled, so we'll be on our way.",Apple Bloom
"Friendship is Magic, part 1",Apple Bloom,Aren't you gonna stay for brunch?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Sorry, but we have an awful lot to do...",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,...fine.,Spike
"Friendship is Magic, part 1",Spike,"Food's all taken care of, next is weather.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Ugh... I ate too much pie...,Spike
"Friendship is Magic, part 1",Spike,"Hmm, there's supposed to be a Pegasus pony named Rainbow Dash clearing the clouds.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, she's not doing a very good job, is she?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Nng.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Nnnn.,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,Lemme help you.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Let me guess. You're Rainbow Dash.,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,"The one and only. Why, you heard of me?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"I heard you were supposed to be keeping the sky clear. I'm Twilight Sparkle, and the Princess sent me to check on the weather.",Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,"Yeah, yeah, that'll be a snap. I'll do it in a jiffy. Just as soon as I'm done practicing.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Practicing for what?,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,"The Wonderbolts! They're gonna perform at the Celebration tomorrow, and I'm gonna show 'em my stuff!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,The Wonderbolts?,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,Yep!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,The most talented flyers in all of Equestria?,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,That's them!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Pfft! Please. They'd never accept a Pegasus who can't even keep the sky clear for one measly day.,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,"Hey, I could clear this sky in ten seconds flat.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Prove it.,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,"Loop-de-loop around, and wham! What'd I say? Ten. Seconds. Flat. I'd never leave Ponyville hanging. You should see the look on your face. Ha! You're a laugh, Twilight Sparkle. I can't wait to hang out some more.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Rrgh.,Spike
"Friendship is Magic, part 1",Spike,Wait! It's kinda pretty once you get used to it!,Spike
"Friendship is Magic, part 1",Spike,Decorations. Beautiful...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Yes, the d<e9>cor is coming along nicely. This ought'a be quick. I'll be at the library in no time. Beautiful indeed.",Spike
"Friendship is Magic, part 1",Spike,"Not the d<e9>cor, her!",Rarity
"Friendship is Magic, part 1",Rarity,"No, no, no, oh! Goodness no.",Spike
"Friendship is Magic, part 1",Spike,How are my spines? Are they straight?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Good afternoon<U+0097>,Rarity
"Friendship is Magic, part 1",Rarity,"Just a moment, please! I'm 'in the zone', as it were. Oh, yes! Sparkle always does the trick, does it not? Why, Rarity, you are a talent. Now, um, how can I help yo<U+0097> Oh my stars, darling! Whatever happened to your coiffure?!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh, you mean my mane? Well, it's a long story. I'm just here to check on the decorations, and then I'll be out of your hair!",Rarity
"Friendship is Magic, part 1",Rarity,Out of my hair? What about your hair?!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Wait! Where are we going?! Help!,Rarity
"Friendship is Magic, part 1",Rarity,"No, no, uh-uh. Too green. Too yellow. Too poofy. Not poofy enough. Too frilly. Too... shiny. Now go on, my dear. You were telling me where you're from.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,I've... been sent... from Canterlot... to<U+0097>,Rarity
"Friendship is Magic, part 1",Rarity,Huh?,Rarity
"Friendship is Magic, part 1",Rarity,"Canterlot?! Oh, I am so envious! The glamour, the sophistication! I have always dreamed of living there! I can't wait to hear all about it! We are gonna be the best of friends, you and I... Emeralds?! What was I thinking? Let me get you some rubies!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Quick! Before she decides to dye my coat a new color!,Spike
"Friendship is Magic, part 1",Spike,Wasn't she wonderful?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Focus, Casanova. What's next on the list?",Spike
"Friendship is Magic, part 1",Spike,"Oh, uh, music! It's the last one!",Fluttershy
"Friendship is Magic, part 1",Fluttershy,"Oh my. Um, stop please, everyone, umm. Excuse me, sir? I mean no offense, but your rhythm is just a teeny-tiny bit off. Now, follow me, please. A-one, a-two, a-one two three-",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Hello!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh my, I'm so sorry, I didn't mean to frighten your birds. I'm just here to check up on the music and it's sounding beautiful. I'm Twilight Sparkle. What's your name?",Fluttershy
"Friendship is Magic, part 1",Fluttershy,Um... I'm Fluttershy.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"I'm sorry, what was that?",Fluttershy
"Friendship is Magic, part 1",Fluttershy,Um... My name is Fluttershy.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Didn't quite catch that.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, um, it looks like your birds are back, so I guess everything's in order. Keep up the good work!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oookay. Well, that was easy.",Fluttershy
"Friendship is Magic, part 1",Fluttershy,A baby dragon!,Fluttershy
"Friendship is Magic, part 1",Fluttershy,"Oh, I've never seen a baby dragon before. He's sooo cute!",Spike
"Friendship is Magic, part 1",Spike,"Well, well, well...!",Fluttershy
"Friendship is Magic, part 1",Fluttershy,"Oh my, he talks. I didn't know dragons could talk. That's just so incredibly wonderful I, I just don't even know what to say!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, in that case we'd better be going.",Fluttershy
"Friendship is Magic, part 1",Fluttershy,"Wait, wait! What's his name?",Spike
"Friendship is Magic, part 1",Spike,I'm Spike.,Fluttershy
"Friendship is Magic, part 1",Fluttershy,"Hi Spike, I'm Fluttershy. Wow, a talking dragon! And what do dragons talk about?",Spike
"Friendship is Magic, part 1",Spike,"Well, what do you wanna know?",Fluttershy
"Friendship is Magic, part 1",Fluttershy,Absolutely everything.,Spike
"Friendship is Magic, part 1",Spike,Well... I started out as a cute little purple and green egg...,Spike
"Friendship is Magic, part 1",Spike,"...and that's the story of my whole entire life! Well, up until today. Do you wanna hear about today?",Fluttershy
"Friendship is Magic, part 1",Fluttershy,"Oh, yes, please!",Spike
"Friendship is Magic, part 1",Spike,Gyah!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"I am so sorry, how did we get here so fast? This is where I'm staying while in Ponyville and my poor baby dragon needs his sleep.",Spike
"Friendship is Magic, part 1",Spike,No I don't<U+0097> whoa!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Aww, wook at dat, he's so sweepy he can't even keep his widdle bawance!",Fluttershy
"Friendship is Magic, part 1",Fluttershy,"Poor thing, you simply must get into bed...",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Yes, yes, we'll get right on that. Well, g'night!",Spike
"Friendship is Magic, part 1",Spike,Huh. Rude much?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Sorry, Spike, but I have to convince the Princess that Nightmare Moon is coming, and we're running out of time! I just need to be alone so I can study without a bunch of crazy ponies trying to make friends all the time. Now, where's the light?",Ponies
"Friendship is Magic, part 1",Ponies,Surprise!,Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,Surprise!,Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,"Hi, I'm Pinkie Pie, and I threw this party just for you! Were you surprised? Were ya? Were ya? Huh huh huh?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Very surprised. Libraries are supposed to be quiet.,Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,"Well, that's silly! What kind of welcome party would this be if it were quiet? I mean, duh, bo-ring! Y'see, I saw you when you first got here, remember? You were all ""hello"" and I was all , remember? Y'see I've never saw you before and if I've never saw you before that means you're new, 'cause I know everypony, and I mean everypony in Ponyville!",Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,"And if you're new, that meant you haven't met anyone yet, and if you haven't met anyone yet, you must not have any friends, and if you don't have any friends then you must be lonely, and that made me so sad, then I had an idea, and that's why I went ! I must throw a great big ginormous super-duper spectacular welcome party and invite everyone in Ponyville! See? And now you have lots and lots of friends!",Applejack
"Friendship is Magic, part 1",Applejack,"Are you all right, sugarcube?",Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,"Aww, she's so happy she's crying!",Spike
"Friendship is Magic, part 1",Spike,"""Hot sauce"".",Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,Ooh... What? It's good!,Spike
"Friendship is Magic, part 1",Spike,"Hey Twilight! Pinkie Pie's starting ""pin the tail on the pony""! Wanna play?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,No! All the ponies in this town are crazy! Do you know what time it is?!,Spike
"Friendship is Magic, part 1",Spike,"It's the eve of the Summer Sun Celebration. Everypony has to stay up, or they'll miss the Princess raise the sun! You really should lighten up, Twilight. It's a party!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Ugh, here I thought I'd have time to learn about the Elements of Harmony but, silly me, all this ridiculous friend-making has kept me from it! ""Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about everlasting night."" I hope the Princess was right... I hope it really is just an old pony tale...",Spike
"Friendship is Magic, part 1",Spike,"C'mon, Twilight, it's time to watch the sunrise!",Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,"Isn't this exciting? Are you excited, 'cause I'm excited, I've never been so excited<U+0097> well, except for the time that I saw you walking into town and I went but I mean really, who can top that?",Mayor Mare
"Friendship is Magic, part 1",Mayor Mare,"Fillies and gentlecolts, as mayor of Ponyville, it is my great pleasure to announce the beginning of the Summer Sun Celebration!",Mayor Mare
"Friendship is Magic, part 1",Mayor Mare,"In just a few moments, our town will witness the magic of the sunrise, and celebrate this, the longest day of the year! And now, it is my great honor to introduce to you the ruler of our land, the very pony who gives us the sun and the moon each and every day, the good, the wise, the bringer of harmony to all of Equestria...",Fluttershy
"Friendship is Magic, part 1",Fluttershy,Ready?,Mayor Mare
"Friendship is Magic, part 1",Mayor Mare,...Princess Celestia!,Rarity
"Friendship is Magic, part 1",Rarity,Huh?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,This can't be good.,Mayor Mare
"Friendship is Magic, part 1",Mayor Mare,"Remain calm, everypony, there must be a reasonable explanation!",Pinkie Pie
"Friendship is Magic, part 1",Pinkie Pie,"Ooh, ooh, I love guessing games! Is she hiding?",Rarity
"Friendship is Magic, part 1",Rarity,She's gone!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Oh no... Nightmare Moon!,Nightmare Moon
"Friendship is Magic, part 1",Nightmare Moon,"Oh, my beloved subjects. It's been so long since I've seen your precious little sun-loving faces.",Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,What did you do with our Princess?!,Applejack
"Friendship is Magic, part 1",Applejack,"Whoa there, Nelly...",Nightmare Moon
"Friendship is Magic, part 1",Nightmare Moon,"Why, am I not royal enough for you? Don't you know who I am?",Nightmare Moon
"Friendship is Magic, part 1",Nightmare Moon,Does my crown no longer count now that I have been imprisoned for a thousand years? Did you not recall the legend? Did you not see the signs?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,I did. And I know who you are. You're the Mare in the Moon <U+0096> Nightmare Moon!,Nightmare Moon
"Friendship is Magic, part 1",Nightmare Moon,"Well well well, somepony who remembers me. Then you also know why I'm here.",nobody
"Friendship is Magic, part 2",Twilight Sparkle,"""Elements of Harmony, see 'Mare in the Moon'""?",Spike
"Friendship is Magic, part 2",Spike,But that's just an old ponies' tale.,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,She will bring about nighttime eternal.,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,It's imperative that the princess is told right away.,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,I knew she would wanna take immediate action.,Spike
"Friendship is Magic, part 2",Spike,"My dear Twilight, there is more to a young pony's life than studying. Make some friends!",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,All the ponies in this town are crazy!,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,I hope the Princess was right.,Rarity
"Friendship is Magic, part 2",Rarity,She's gone!,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,Oh no. Nightmare Moon!,Mayor Mare
"Friendship is Magic, part 2",Mayor Mare,Seize her! Only she knows where the Princess is!,Applejack
"Friendship is Magic, part 2",Applejack,Ergh...,Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,Come back here! Nighttime? Forever? Where's she going?,Spike
"Friendship is Magic, part 2",Spike,Uh... We gotta stop Nightmare!...,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,"You've been up all night, Spike. You are a baby dragon after all. Elements, elements, elements... Ugh! How can I stop Nightmare Moon without the Elements of Harmony?",Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,"And just what are the Elements of Harmony? And how did you know about Nightmare Moon, huh? Are you a spy? Whoa!",Applejack
"Friendship is Magic, part 2",Applejack,"Simmer down, Sally. She ain't no spy. But she sure knows what's going on. Don't you, Twilight?",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,"I read all about the prediction of Nightmare Moon. Some mysterious objects called the Elements of Harmony are the only things that can stop her, but I don't know what they are, where to find them; I don't even know what they do!",Pinkie Pie
"Friendship is Magic, part 2",Pinkie Pie,"""The Elements of Harmony: A Reference Guide.""",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,How did you find that?!,Pinkie Pie
"Friendship is Magic, part 2",Pinkie Pie,"It was under ""E""!",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,"Oh. There are six Elements of Harmony, but only five are known: Kindness, Laughter, Generosity, Honesty and Loyalty. The sixth is a complete mystery. It is said, the last known location of the five elements was in the ancient castle of the royal pony sisters. It is located in what is now--",Everypony
"Friendship is Magic, part 2",Everypony,The Everfree Forest!,Pinkie Pie
"Friendship is Magic, part 2",Pinkie Pie,Whee! Let's go!,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,"Not so fast. Look, I appreciate the offer, but I'd really rather do this on my own.",Applejack
"Friendship is Magic, part 2",Applejack,"No can do, sugarcube. We sure ain't lettin' any friend of ours go into that creepy place alone. We're stickin' to you like caramel on a candy apple.",Pinkie Pie
"Friendship is Magic, part 2",Pinkie Pie,Especially if there's candy apples in there. What? Those things are good.,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,"So, none of you have been in here before?",Rarity
"Friendship is Magic, part 2",Rarity,"Ugh, heavens no! Just look at it - it's dreadful.",Applejack
"Friendship is Magic, part 2",Applejack,And it ain't natural. Folks say it don't work the same as Equestria.,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,What's that supposed to mean?,Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,Nopony knows. You know why?,Applejack
"Friendship is Magic, part 2",Applejack,"Rainbow, quit it.",Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,'cause everypony who's ever come in has never come out!,Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,Fluttershy! Quick!,Fluttershy
"Friendship is Magic, part 2",Fluttershy,"Oh my goodness, oh my goodness.",Applejack
"Friendship is Magic, part 2",Applejack,Hold on! I'm a-comin'!,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,Applejack! What do I do?,Applejack
"Friendship is Magic, part 2",Applejack,Let go.,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,Are you crazy?,Applejack
"Friendship is Magic, part 2",Applejack,No I ain't. I promise you'll be safe.,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,That's not true!,Applejack
"Friendship is Magic, part 2",Applejack,"Now listen here. What I'm sayin' to you is the honest truth. Let go, and you'll be safe.",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,Yaaah! Phew-wah!,Fluttershy
"Friendship is Magic, part 2",Fluttershy,Sorry girls. I'm not used to holding anything more than a bunny or two.,Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,"And once Pinkie and Rarity were saved, whoosh... Me and Fluttershy loop-de-loop around and WHAM! Caught you right in the nick of time.",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,"Yes, Rainbow, I was there, and I'm very grateful, but we gotta- A manticore!",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,We've gotta get past him!,Rarity
"Friendship is Magic, part 2",Rarity,"Take that, you ruffian!",Rarity
"Friendship is Magic, part 2",Rarity,My hair! Woop--,Fluttershy
"Friendship is Magic, part 2",Fluttershy,Wait.,Applejack
"Friendship is Magic, part 2",Applejack,"YEE-HAW! Git along, little dogie.",Fluttershy
"Friendship is Magic, part 2",Fluttershy,Wait.,Applejack
"Friendship is Magic, part 2",Applejack,"Whoa! All yours, partner.",Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,I'm on it.,Fluttershy
"Friendship is Magic, part 2",Fluttershy,Wait!,Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,Rainbow!,Fluttershy
"Friendship is Magic, part 2",Fluttershy,WAIT!,Fluttershy
"Friendship is Magic, part 2",Fluttershy,"Shhh... It's okay. Oh, you poor, poor little baby.",Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,Little?,Fluttershy
"Friendship is Magic, part 2",Fluttershy,Now this might hurt for just a second.,Everypony
"Friendship is Magic, part 2",Everypony,Fluttershy!,Fluttershy
"Friendship is Magic, part 2",Fluttershy,"Aw you're just a little ol' baby kitty, aren't you? Yes you are, yes you are.",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,How did you know about the thorn?,Fluttershy
"Friendship is Magic, part 2",Fluttershy,I didn't. Sometimes we all just need to be shown a little kindness.,Rarity
"Friendship is Magic, part 2",Rarity,"No. My eyes need a rest from all this icky muck. Well, I didn't mean that literally.",Twilight Sparkle
"Friendship is Magic, part 2",Twilight Sparkle,That ancient ruin could be right in front of our faces and we wouldn't even know it.,Rarity
"Friendship is Magic, part 2",Rarity,"I didn't see you there, my apologies.",Rainbow Dash
"Friendship is Magic, part 2",Rainbow Dash,Right here... guh...,Applejack
"Friendship is Magic, part 2",Applejack,"Oh wait, I think I stepped in somethin'.",Applejack
"Friendship is Magic, part 2",Applejack,It's just mud.,Applejack
"Friendship is Magic, part 2",Applejack,Aah!,Everypony
"Friendship is Magic, part 2",Everypony,Huh?,Twilight Sparkle
